"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"1",-0.5,"Native 1",6,"disamb","fp","disamb fp",2,0,407,407,-0.5,-0.5
"4",-0.5,"Native 1",1,"disamb","fp","disamb fp",1,0,159,159,0.5,-0.5
"5",-0.5,"Native 1",16,"disamb","fp","disamb fp",4,0,415,415,-0.5,0.5
"7",-0.5,"Native 1",13,"disamb","fp","disamb fp",1,0,547,547,0.5,-0.5
"8",-0.5,"Native 1",3,"disamb","fp","disamb fp",3,0,186,186,0.5,0.5
"10",-0.5,"Native 1",10,"disamb","fp","disamb fp",2,0,211,211,-0.5,-0.5
"12",-0.5,"Native 1",7,"disamb","fp","disamb fp",3,0,362,362,0.5,0.5
"14",-0.5,"Native 1",20,"disamb","fp","disamb fp",4,1,0,NA,-0.5,0.5
"15",-0.5,"Native 1",4,"disamb","fp","disamb fp",4,0,158,158,-0.5,0.5
"16",-0.5,"Native 1",8,"disamb","fp","disamb fp",4,0,384,384,-0.5,0.5
"18",-0.5,"Native 1",15,"disamb","fp","disamb fp",3,0,277,277,0.5,0.5
"20",-0.5,"Native 1",22,"disamb","fp","disamb fp",2,0,222,222,-0.5,-0.5
"22",-0.5,"Native 1",19,"disamb","fp","disamb fp",3,0,421,421,0.5,0.5
"25",-0.5,"Native 1",12,"disamb","fp","disamb fp",4,0,177,177,-0.5,0.5
"28",-0.5,"Native 1",23,"disamb","fp","disamb fp",3,1,0,NA,0.5,0.5
"30",-0.5,"Native 1",17,"disamb","fp","disamb fp",1,0,360,360,0.5,-0.5
"31",-0.5,"Native 1",21,"disamb","fp","disamb fp",1,0,227,227,0.5,-0.5
"35",-0.5,"Native 1",24,"disamb","fp","disamb fp",4,0,398,398,-0.5,0.5
"37",-0.5,"Native 1",14,"disamb","fp","disamb fp",2,0,536,536,-0.5,-0.5
"38",-0.5,"Native 1",11,"disamb","fp","disamb fp",3,0,305,305,0.5,0.5
"39",-0.5,"Native 1",9,"disamb","fp","disamb fp",1,0,444,444,0.5,-0.5
"43",-0.5,"Native 1",5,"disamb","fp","disamb fp",1,0,347,347,0.5,-0.5
"44",-0.5,"Native 1",2,"disamb","fp","disamb fp",2,0,188,188,-0.5,-0.5
"47",-0.5,"Native 1",18,"disamb","fp","disamb fp",2,0,350,350,-0.5,-0.5
"52",-0.5,"Native 2",20,"disamb","fp","disamb fp",1,1,0,NA,0.5,-0.5
"53",-0.5,"Native 2",5,"disamb","fp","disamb fp",2,0,295,295,-0.5,-0.5
"54",-0.5,"Native 2",12,"disamb","fp","disamb fp",1,0,189,189,0.5,-0.5
"55",-0.5,"Native 2",2,"disamb","fp","disamb fp",3,0,207,207,0.5,0.5
"56",-0.5,"Native 2",9,"disamb","fp","disamb fp",2,0,245,245,-0.5,-0.5
"60",-0.5,"Native 2",16,"disamb","fp","disamb fp",1,0,180,180,0.5,-0.5
"61",-0.5,"Native 2",1,"disamb","fp","disamb fp",2,0,182,182,-0.5,-0.5
"64",-0.5,"Native 2",13,"disamb","fp","disamb fp",2,1,0,NA,-0.5,-0.5
"65",-0.5,"Native 2",10,"disamb","fp","disamb fp",3,0,322,322,0.5,0.5
"70",-0.5,"Native 2",7,"disamb","fp","disamb fp",4,1,0,NA,-0.5,0.5
"73",-0.5,"Native 2",24,"disamb","fp","disamb fp",1,0,182,182,0.5,-0.5
